year,month,min,max,mean
1993,January,-9.0,12.0,1.5
1993,February,-6.0,11.0,2.5
1993,March,-5.0,27.0,11.0
1993,April,-1.0,30.0,14.5
1993,May,6.0,34.0,20.0
1993,June,10.0,32.0,21.0
1993,July,8.0,32.0,20.0
1993,August,7.0,37.0,22.0
1993,September,6.0,29.0,17.5
1993,October,-1.0,21.0,10.0
1993,November,-7.0,16.0,4.5
1993,December,-11.0,10.0,-0.5
1994,January,-6.0,10.0,2.0
1994,February,-7.0,13.0,3.0
1994,March,-2.0,24.0,11.0
1994,April,-2.0,29.0,13.5
1994,May,4.0,29.0,16.5
1994,June,9.0,39.0,24.0
1994,July,11.0,36.0,23.5
1994,August,10.0,36.0,23.0
1994,September,5.0,30.0,17.5
1994,October,-1.0,26.0,12.5
1994,November,-2.0,15.0,6.5
1994,December,-7.0,10.0,1.5
1995,January,-11.0,10.0,-0.5
1995,February,-7.0,16.0,4.5
1995,March,-8.0,24.0,8.0
1995,April,-2.0,27.0,12.5
1995,May,5.0,30.0,17.5
1995,June,8.0,34.0,21.0
1995,July,14.0,36.0,25.0
1995,August,7.0,39.0,23.0
1995,September,1.0,27.0,14.0
1995,October,-1.0,23.0,11.0
1995,November,-8.0,17.0,4.5
1995,December,-5.0,9.0,2.0
1996,January,-7.0,8.0,0.5
1996,February,-7.0,14.0,3.5
1996,March,-8.0,21.0,6.5
1996,April,-1.0,27.0,13.0
1996,May,4.0,29.0,16.5
1996,June,9.0,37.0,23.0
1996,July,11.0,35.0,23.0
1996,August,4.0,35.0,19.5
1996,September,4.0,28.0,16.0
1996,October,-1.0,21.0,10.0
1996,November,-2.0,16.0,7.0
1996,December,-11.0,9.0,-1.0
1997,January,-6.0,8.0,1.0
1997,February,-7.0,14.0,3.5
1997,March,-2.0,25.0,11.5
1997,April,-1.0,26.0,12.5
1997,May,5.0,32.0,18.5
1997,June,8.0,32.0,20.0
1997,July,9.0,33.0,21.0
1997,August,10.0,35.0,22.5
1997,September,6.0,33.0,19.5
1997,October,-5.0,26.0,10.5
1997,November,-3.0,16.0,6.5
1997,December,-7.0,13.0,3.0
1998,January,-8.0,11.0,1.5
1998,February,-7.0,18.0,5.5
1998,March,-4.0,22.0,9.0
1998,April,1.0,24.0,12.5
1998,May,6.0,31.0,18.5
1998,June,6.0,33.0,19.5
1998,July,11.0,37.0,24.0
1998,August,7.0,38.0,22.5
1998,September,6.0,30.0,18.0
1998,October,-1.0,20.0,9.5
1998,November,-8.0,13.0,2.5
1998,December,-10.0,12.0,1.0
1999,January,-5.0,7.0,1.0
1999,February,-7.0,16.0,4.5
1999,March,-3.0,23.0,10.0
1999,April,1.0,26.0,13.5
1999,May,9.0,31.0,20.0
1999,June,9.0,33.0,21.0
1999,July,13.0,33.0,23.0
1999,August,14.0,34.0,24.0
1999,September,9.0,31.0,20.0
1999,October,3.0,23.0,13.0
1999,November,-6.0,15.0,4.5
1999,December,-8.0,9.0,0.5
2000,January,-10.0,15.0,2.5
2000,February,-5.0,14.0,4.5
2000,March,-4.0,22.0,9.0
2000,April,2.0,31.0,16.5
2000,May,7.0,29.0,18.0
2000,June,10.0,33.0,21.5
2000,July,8.0,32.0,20.0
2000,August,12.0,35.0,23.5
2000,September,0.0,29.0,14.5
2000,October,0.0,20.0,10.0
2000,November,-1.0,14.0,6.5
2000,December,-8.0,11.0,1.5
2001,January,-8.0,9.0,0.5
2001,February,-6.0,14.0,4.0
2001,March,-1.0,22.0,10.5
2001,April,0.0,24.0,12.0
2001,May,7.0,34.0,20.5
2001,June,6.0,34.0,20.0
2001,July,12.0,36.0,24.0
