January,February,March,April,May,June,July,August,September,October,November,December
4.9,4.6,6.3,21.3,22.9,16.6,27.8,34.2,25.2,22.4,15.7,6.5
5.5,4.5,8.9,22.0,20.9,26.2,27.9,34.1,29.5,22.0,18.8,6.1
3.7,4.5,11.3,21.6,16.7,25.1,27.6,32.4,31.6,23.0,19.0,7.7
1.1,10.7,11.3,19.9,14.1,28.7,27.6,30.4,31.2,22.8,18.2,8.4
8.2,9.5,9.7,19.9,13.3,26.6,30.5,31.0,31.0,23.0,17.3,8.8
1.8,8.9,6.9,14.6,15.5,26.6,30.5,31.8,28.8,23.0,17.4,11.0
0.9,5.7,5.8,14.6,16.5,28.4,28.7,30.8,29.8,22.2,13.2,8.8
1.0,9.7,10.2,16.0,19.3,31.1,26.2,28.2,30.0,23.0,11.2,8.4
4.5,10.1,10.2,12.4,17.3,33.3,28.8,28.8,28.4,23.1,9.2,9.3
6.4,8.0,6.5,11.8,19.7,33.3,22.0,27.6,27.2,19.8,7.0,9.2
4.5,13.9,2.6,18.9,24.7,31.8,22.0,32.4,26.4,16.5,8.8,6.8
4.2,12.7,8.1,17.1,20.5,30.7,22.8,31.4,21.4,14.2,11.0,5.6
6.1,7.3,11.7,15.3,23.3,25.9,24.8,31.6,24.6,15.4,14.8,6.4
8.1,4.9,11.7,19.9,26.1,27.4,28.0,30.0,22.8,16.0,10.2,6.1
10.1,10.3,16.1,13.3,24.5,28.8,31.3,32.4,23.7,14.8,11.6,6.0
4.9,7.3,16.8,13.9,26.9,29.6,29.4,19.8,18.8,12.0,11.3,2.4
3.9,6.3,18.3,17.5,27.3,28.5,30.4,24.6,25.2,14.4,8.6,6.8
3.0,8.9,21.8,17.5,26.1,31.1,31.2,31.2,26.0,13.6,6.8,10.6
5.0,5.5,20.4,13.3,29.5,27.4,32.0,32.6,25.4,11.3,11.6,5.8
5.5,6.9,17.6,22.2,29.3,17.9,32.0,29.8,26.8,15.8,6.3,7.2
6.9,4.5,15.4,23.7,25.4,24.3,33.4,22.1,25.3,17.6,4.2,3.0
3.1,6.9,16.8,25.5,17.6,25.7,35.0,28.6,25.3,17.4,6.4,0.4
2.4,6.9,10.0,26.1,22.9,25.3,31.3,29.6,22.8,19.6,4.2,0.5
-0.1,5.8,12.9,24.5,21.8,28.2,23.8,27.7,22.0,19.0,3.8,-0.1
1.7,4.1,14.5,22.1,22.9,27.5,32.8,28.4,21.2,18.0,4.0,0.4
-0.1,3.9,11.6,22.9,24.3,27.5,30.0,27.2,20.9,19.8,5.0,2.8
3.7,3.9,11.2,22.9,24.8,30.8,30.4,29.6,22.8,16.4,7.0,4.8
6.9,4.4,15.9,23.7,21.6,30.8,28.4,29.4,21.4,16.0,6.4,5.2
2.1,6.9,18.7,24.1,25.5,30.0,31.0,28.8,21.2,13.6,4.2,8.0
2.6,0.0,20.1,16.9,26.2,29.3,32.8,28.8,22.8,15.8,5.8,4.8
2.1,0.0,17.7,0.0,24.8,0.0,34.0,25.4,0.0,15.0,0.0,3.2
