January,February,March,April,May,June,July,August,September,October,November,December
-0.1,-1.1,-2.1,4.4,11.5,13.1,19.0,19.2,17.7,15.2,9.4,1.4
-0.9,-2.3,-1.5,7.6,9.1,13.8,18.7,21.8,15.9,14.4,10.7,2.2
-2.1,-2.6,-0.9,9.5,10.5,12.7,13.0,21.8,15.0,15.6,10.8,3.4
-4.5,2.1,0.9,11.7,11.7,16.6,17.3,20.4,17.2,15.3,12.0,3.2
-5.1,1.8,-1.7,12.1,10.1,14.9,15.5,19.8,13.7,14.8,10.2,4.0
-4.7,0.5,3.0,8.4,7.0,11.7,19.1,20.6,19.0,13.6,8.6,3.8
-3.0,-0.1,1.7,5.7,6.9,13.1,18.4,20.0,14.9,14.5,2.4,2.6
-4.8,-2.7,3.8,1.2,6.9,14.3,19.1,17.0,13.6,16.8,3.6,1.4
-0.5,3.4,2.9,6.8,8.1,18.5,18.8,16.4,13.2,16.4,1.4,1.7
-0.9,-1.9,1.3,5.8,6.3,18.5,15.6,19.8,16.9,15.2,3.8,2.2
-2.7,-2.1,-0.3,5.8,10.7,17.5,12.1,20.4,13.2,12.8,4.0,0.4
-1.5,3.3,0.5,7.3,8.6,17.5,12.7,21.2,15.8,10.8,5.6,-0.2
1.0,-0.3,4.1,8.1,11.3,16.7,11.0,18.6,13.3,8.6,4.4,-1.1
-0.3,-0.5,3.7,3.7,10.9,15.7,12.5,18.6,14.8,8.6,7.3,-1.0
3.8,-0.9,4.3,9.7,10.9,13.2,13.6,18.8,15.2,10.0,0.4,-0.8
-0.7,-2.7,4.7,7.5,9.0,17.1,17.2,9.1,13.6,7.3,-0.2,-2.6
-1.8,-0.9,5.5,8.5,7.7,17.5,18.0,11.1,12.2,6.0,-1.5,1.8
-1.5,-1.7,5.5,10.9,10.6,15.7,18.1,21.7,12.4,2.8,-2.6,3.6
-1.5,1.7,4.3,7.7,11.1,17.1,19.6,20.8,13.8,7.7,0.7,0.4
-2.9,1.3,7.4,8.5,13.3,13.7,19.0,18.8,12.4,10.2,-2.3,-3.6
-2.4,0.5,11.1,5.7,16.2,11.9,17.2,14.8,14.8,11.7,-4.0,-4.8
-5.9,1.3,7.0,8.7,11.6,15.8,19.2,12.6,13.6,13.6,-4.0,-5.7
-1.7,3.3,5.9,12.5,6.3,16.5,20.8,13.4,11.6,13.8,-2.6,-5.6
-3.2,0.5,5.5,12.9,9.4,16.5,18.4,16.6,13.2,13.4,-3.1,-7.8
-4.6,-2.9,8.3,8.7,6.3,18.3,18.4,15.4,11.6,13.3,-2.8,-3.2
-7.5,0.5,6.4,9.3,9.0,15.4,18.6,16.4,11.4,14.4,-2.0,-0.8
-1.8,-0.3,4.0,8.9,12.7,17.2,18.0,11.2,8.1,11.8,-1.4,1.6
-0.3,-1.7,2.4,9.5,11.7,20.7,11.8,13.6,7.4,10.8,-3.2,1.8
-3.2,2.2,2.8,12.1,8.3,20.0,18.0,15.9,8.0,10.2,0.9,2.6
-4.3,0.0,3.6,12.5,14.2,20.0,16.4,18.6,11.2,10.5,1.0,0.4
-3.0,0.0,6.7,0.0,13.8,0.0,18.4,18.6,0.0,10.6,0.0,-3.2
