Name,count,mean
Celtis australis,1028,42.34
Aesculus hippocastanum,581,40.89
Carpinus betulus,536,13.55
Tilia cordata,509,19.85
Platanus x hispanica,502,102.36
Tilia x europaea,471,33.7
Acer campestre,458,11.88
Cupressus,399,4.49
Sophora japonica,376,39.66
Prunus cerasifera,350,13.3
Pinus nigra,335,23.55
Liriodendron tulipifera,301,11.18
Parrotia persica,272,6.7
Quercus robur,272,16.78
Robinia pseudoacacia,269,32.62
Cedrus deodara,246,76.59
Platanus x acerifolia 'Bloodgood',220,49.92
Ostrya carpinifolia,211,13.72
Prunus avium,208,14.21
Acer negundo,178,46.4
