Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2,3.57
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.3,0.2
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2,3.57
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6,0.26
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2,3.57
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2,3.57
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.3,0.2
Aesculus hippocastanum,11.0,12.0,113.1,3.3,17.7,2.84
Aesculus hippocastanum,10.0,11.0,95.0,3.0,17.6,2.83
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1,0.18
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1,0.18
Aesculus hippocastanum,10.0,11.0,95.0,3.0,15.5,2.48
Aesculus hippocastanum,10.0,10.0,78.5,3.0,13.4,2.16
Aesculus hippocastanum,9.0,10.0,78.5,2.7,9.6,1.54
Aesculus hippocastanum,9.0,10.0,78.5,2.7,9.6,1.54
Aesculus hippocastanum,10.0,12.0,113.1,3.0,27.0,4.34
Aesculus hippocastanum,10.0,10.0,78.5,3.0,19.8,3.19
Aesculus hippocastanum,9.0,7.0,38.5,2.7,6.9,1.12
Aesculus hippocastanum,10.0,10.0,78.5,3.0,17.6,2.83
Aesculus hippocastanum,10.0,10.0,78.5,3.0,17.6,2.83
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1,0.18
Aesculus hippocastanum,10.0,12.0,113.1,3.0,17.6,2.83
Aesculus hippocastanum,11.0,11.0,95.0,3.3,17.7,2.84
Aesculus hippocastanum,11.0,12.0,113.1,3.3,27.1,4.35
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3,3.58
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3,3.58
Aesculus hippocastanum,10.0,12.0,113.1,3.0,12.6,2.03
Aesculus hippocastanum,12.0,13.0,132.7,3.6,13.6,2.18
Aesculus hippocastanum,12.0,13.0,132.7,3.6,29.7,4.78
Aesculus hippocastanum,11.0,13.0,132.7,3.3,27.1,4.35
Aesculus hippocastanum,4.0,3.0,7.1,1.2,2.4,0.39
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8,0.29
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8,0.29
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.6,0.26
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8,0.29
Aesculus hippocastanum,10.0,10.0,78.5,3.0,19.8,3.19
Aesculus hippocastanum,4.0,2.0,3.1,1.2,2.0,0.33
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.1,0.17
Aesculus hippocastanum,8.5,10.0,78.5,2.6,13.3,2.14
Aesculus hippocastanum,5.0,6.0,28.3,1.5,3.2,0.51
Aesculus hippocastanum,9.0,12.0,113.1,2.7,15.4,2.47
