Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
Celtis australis,4.0,1.2,1.5,1.8
Celtis australis,6.0,1.8,6.0,28.3
Celtis australis,15.0,4.5,12.0,113.1
Tilia cordata,6.0,1.8,6.0,28.3
Aesculus hippocastanum,8.0,2.4,6.0,28.3
Celtis australis,15.0,4.5,4.0,12.6
Carpinus betulus,5.0,1.5,2.0,3.1
Aesculus hippocastanum,3.0,0.9,1.0,0.8
Celtis australis,5.0,1.5,4.0,12.6
Celtis australis,18.0,5.4,12.0,113.1
Aesculus hippocastanum,9.0,2.7,6.0,28.3
Aesculus hippocastanum,14.0,4.2,10.0,78.5
Celtis australis,5.0,1.5,3.0,7.1
Celtis australis,7.0,2.1,5.0,19.6
Celtis australis,5.0,1.5,3.0,7.1
Celtis australis,5.0,1.5,2.5,4.9
Carpinus betulus,4.5,1.3,2.5,4.9
Carpinus betulus,6.0,1.8,4.0,12.6
Platanus x hispanica,7.0,2.1,6.0,28.3
Aesculus hippocastanum,12.0,3.6,6.0,28.3
Celtis australis,3.0,0.9,3.0,7.1
Aesculus hippocastanum,3.0,0.9,2.0,3.1
Tilia cordata,4.0,1.2,2.5,4.9
Carpinus betulus,8.0,2.4,12.0,113.1
Carpinus betulus,4.0,1.2,2.0,3.1
Celtis australis,9.0,2.7,7.0,38.5
Aesculus hippocastanum,10.0,3.0,10.0,78.5
Tilia cordata,4.0,1.2,2.5,4.9
Aesculus hippocastanum,10.0,3.0,4.0,12.6
Tilia x europaea,6.0,1.8,8.0,50.3
Carpinus betulus,4.5,1.3,2.0,3.1
Platanus x hispanica,25.0,7.5,7.0,38.5
Tilia cordata,8.0,2.4,8.0,50.3
Aesculus hippocastanum,10.0,3.0,10.0,78.5
Celtis australis,12.0,3.6,10.0,78.5
Tilia cordata,6.0,1.8,4.0,12.6
Celtis australis,7.0,2.1,8.0,50.3
Tilia cordata,7.0,2.1,5.0,19.6
Celtis australis,8.0,2.4,3.0,7.1
Tilia x europaea,4.0,1.2,1.0,0.8
Tilia x europaea,15.0,4.5,10.0,78.5
Platanus x hispanica,7.0,2.1,6.0,28.3
Platanus x hispanica,5.0,1.5,1.5,1.8
Celtis australis,18.0,5.4,11.0,95.0
Tilia cordata,6.0,1.8,6.0,28.3
Tilia cordata,4.0,1.2,1.0,0.8
Aesculus hippocastanum,8.4,2.5,6.4,32.7
Tilia cordata,18.0,5.4,9.0,63.6
Aesculus hippocastanum,12.0,3.6,8.0,50.3
Platanus x hispanica,21.0,6.3,10.0,78.5
Aesculus hippocastanum,7.5,2.3,4.0,12.6
Celtis australis,5.0,1.5,5.0,19.6
Aesculus hippocastanum,7.0,2.1,6.0,28.3
Platanus x hispanica,6.0,1.8,6.0,28.3
Platanus x hispanica,23.0,6.9,17.0,227.0
Platanus x hispanica,5.0,1.5,3.0,7.1
Celtis australis,8.3,2.5,6.7,35.2
Aesculus hippocastanum,3.0,0.9,6.4,32.7
Celtis australis,9.0,2.7,7.0,38.5
Celtis australis,5.0,1.5,4.0,12.6
Tilia cordata,4.0,1.2,2.5,4.9
Celtis australis,7.0,2.1,11.0,95.0
Celtis australis,12.0,3.6,10.0,78.5
Tilia x europaea,8.0,2.4,8.0,50.3
Tilia cordata,3.5,1.0,1.5,1.8
Tilia cordata,5.0,1.5,5.0,19.6
Celtis australis,3.5,1.0,4.0,12.6
Aesculus hippocastanum,10.0,3.0,7.0,38.5
Tilia x europaea,12.0,3.6,8.0,50.3
Tilia x europaea,17.0,5.1,7.0,38.5
Tilia cordata,4.0,1.2,1.0,0.8
Carpinus betulus,5.0,1.5,4.0,12.6
Aesculus hippocastanum,11.0,3.3,8.0,50.3
Platanus x hispanica,5.0,1.5,3.0,7.1
Carpinus betulus,25.0,7.5,4.0,12.6
Aesculus hippocastanum,12.0,3.6,8.0,50.3
Platanus x hispanica,16.0,4.8,12.0,113.1
