Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Platanus x hispanica,9.0,7.0,38.5,2.7,8.5
Aesculus hippocastanum,9.0,6.0,28.3,2.7,4.9
Celtis australis,11.0,4.0,12.6,3.3,0.9
Celtis australis,12.0,10.0,78.5,3.6,1.6
Aesculus hippocastanum,12.0,6.0,28.3,3.6,2.5
Celtis australis,4.0,8.0,50.3,1.2,1.5
Celtis australis,3.0,1.0,0.8,0.9,0.5
Tilia cordata,4.0,2.5,4.9,1.2,1.3
Celtis australis,5.0,3.0,7.1,1.5,0.8
Tilia x europaea,4.0,2.0,3.1,1.2,4.6
Platanus x hispanica,9.0,8.0,50.3,2.7,3.2
Platanus x hispanica,24.0,18.0,254.5,7.2,30.1
Tilia cordata,8.0,6.0,28.3,2.4,2.3
Carpinus betulus,3.5,1.5,1.8,1.0,1.7
Celtis australis,6.0,8.0,50.3,1.8,1.6
Carpinus betulus,9.0,7.0,38.5,2.7,6.3
Celtis australis,3.5,1.5,1.8,1.0,0.4
Carpinus betulus,7.0,5.0,19.6,2.1,3.2
Celtis australis,13.0,12.0,113.1,3.9,1.8
Celtis australis,3.5,4.0,12.6,1.0,0.7
Tilia cordata,5.0,2.5,4.9,1.5,1.3
Platanus x hispanica,7.0,7.0,38.5,2.1,4.1
Tilia x europaea,6.0,4.0,12.6,1.8,10.6
Aesculus hippocastanum,4.0,2.0,3.1,1.2,3.4
Celtis australis,9.0,7.0,38.5,2.7,1.1
Tilia x europaea,5.0,5.0,19.6,1.5,5.8
Tilia x europaea,5.0,5.0,19.6,1.5,10.1
Aesculus hippocastanum,3.0,1.5,1.8,0.9,1.2
Celtis australis,5.0,2.5,4.9,1.5,0.6
Celtis australis,5.0,4.0,12.6,1.5,0.8
Tilia cordata,8.0,7.0,38.5,2.4,2.8
Celtis australis,4.0,1.5,1.8,1.2,0.4
Aesculus hippocastanum,8.0,7.0,38.5,2.4,13.3
Celtis australis,9.0,7.0,38.5,2.7,1.3
Tilia x europaea,5.0,1.5,1.8,1.5,2.6
Carpinus betulus,10.0,6.0,28.3,3.0,6.7
Celtis australis,11.0,9.0,63.6,3.3,1.6
Celtis australis,12.0,8.0,50.3,3.6,1.6
Carpinus betulus,4.5,2.0,3.1,1.3,1.5
Celtis australis,6.0,6.0,28.3,1.8,1.2
Carpinus betulus,8.0,8.0,50.3,2.4,5.6
Celtis australis,8.3,6.7,35.2,2.5,1.3
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Celtis australis,8.3,6.7,35.2,2.5,1.3
Celtis australis,6.0,4.0,12.6,1.8,0.7
Celtis australis,9.0,7.0,38.5,2.7,1.2
Celtis australis,8.0,6.0,28.3,2.4,0.8
Celtis australis,10.0,6.0,28.3,3.0,1.2
Celtis australis,13.0,11.0,95.0,3.9,1.8
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Celtis australis,6.0,5.0,19.6,1.8,0.8
Celtis australis,12.0,10.0,78.5,3.6,1.2
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4
Carpinus betulus,8.0,5.0,19.6,2.4,3.3
Tilia cordata,8.0,6.0,28.3,2.4,1.9
Celtis australis,9.0,8.0,50.3,2.7,1.3
Platanus x hispanica,24.0,19.0,283.5,7.2,30.1
Tilia x europaea,12.0,7.0,38.5,3.6,23.2
Celtis australis,8.3,6.7,35.2,2.5,1.3
Aesculus hippocastanum,8.4,6.0,28.3,2.5,3.5
Aesculus hippocastanum,12.0,6.0,28.3,3.6,3.2
Aesculus hippocastanum,4.5,4.0,12.6,1.3,2.2
Carpinus betulus,12.0,10.0,78.5,3.6,6.4
Celtis australis,8.0,11.0,95.0,2.4,1.8
