Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Carpinus betulus,8.0,5.0,19.6,2.4,3.3,0.54
Celtis australis,5.0,7.0,38.5,1.5,1.4,0.22
Celtis australis,6.0,6.0,28.3,1.8,0.8,0.14
Tilia cordata,2.5,1.5,1.8,0.8,0.8,0.13
Platanus x hispanica,24.0,20.0,314.2,7.2,30.1,4.83
Celtis australis,4.0,5.0,19.6,1.2,0.8,0.13
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Tilia cordata,7.0,4.0,12.6,2.1,2.3,0.36
Tilia x europaea,13.0,11.0,95.0,3.9,18.9,3.04
Celtis australis,18.0,14.0,153.9,5.4,0.3,0.04
Carpinus betulus,3.0,1.5,1.8,0.9,1.7,0.27
Aesculus hippocastanum,21.0,15.0,176.7,6.3,22.0,3.54
Carpinus betulus,8.0,2.0,3.1,2.4,1.7,0.27
Platanus x hispanica,5.0,3.0,7.1,1.5,2.0,0.32
Celtis australis,12.0,12.0,113.1,3.6,1.8,0.29
Tilia x europaea,4.0,2.0,3.1,1.2,1.1,0.17
Tilia x europaea,13.0,11.0,95.0,3.9,14.9,2.39
Platanus x hispanica,4.0,1.5,1.8,1.2,0.9,0.15
Platanus x hispanica,4.5,1.5,1.8,1.3,1.1,0.18
Tilia x europaea,6.0,4.0,12.6,1.8,7.2,1.15
Carpinus betulus,4.0,3.0,7.1,1.2,3.5,0.55
Tilia cordata,13.0,9.0,63.6,3.9,10.8,1.74
Tilia cordata,4.0,3.0,7.1,1.2,1.3,0.2
Tilia x europaea,12.0,5.6,24.3,3.6,3.8,0.6
Carpinus betulus,10.0,6.0,28.3,3.0,6.7,1.08
Celtis australis,8.0,6.0,28.3,2.4,1.0,0.15
Tilia x europaea,3.0,2.0,3.1,0.9,1.5,0.23
Carpinus betulus,7.0,5.0,19.6,2.1,3.2,0.52
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8,1.57
Carpinus betulus,10.0,6.0,28.3,3.0,3.5,0.55
Tilia x europaea,12.0,8.0,50.3,3.6,29.7,4.77
Tilia x europaea,5.0,4.0,12.6,1.5,10.1,1.62
Platanus x hispanica,3.0,5.0,19.6,0.9,2.4,0.39
Celtis australis,5.0,6.0,28.3,1.5,1.9,0.3
Celtis australis,4.0,1.0,0.8,1.2,0.4,0.07
Platanus x hispanica,7.0,3.0,7.1,2.1,2.0,0.32
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Aesculus hippocastanum,7.0,8.0,50.3,2.1,11.3,1.82
Celtis australis,4.0,3.0,7.1,1.2,0.9,0.15
Aesculus hippocastanum,9.0,10.0,78.5,2.7,9.6,1.54
Celtis australis,6.0,8.0,50.3,1.8,1.6,0.26
Tilia x europaea,3.0,2.0,3.1,0.9,4.6,0.73
Carpinus betulus,4.0,2.0,3.1,1.2,2.1,0.34
Aesculus hippocastanum,6.0,3.0,7.1,1.8,4.7,0.76
Celtis australis,4.0,3.0,7.1,1.2,0.7,0.11
Aesculus hippocastanum,5.0,3.0,7.1,1.5,2.3,0.36
Celtis australis,4.0,4.0,12.6,1.2,0.7,0.12
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4,0.23
Platanus x hispanica,2.0,2.0,3.1,0.6,2.4,0.39
Celtis australis,6.0,4.0,12.6,1.8,0.9,0.15
Carpinus betulus,5.0,4.0,12.6,1.5,2.3,0.37
Carpinus betulus,4.0,3.0,7.1,1.2,2.7,0.44
Celtis australis,10.0,10.0,78.5,3.0,1.3,0.21
Platanus x hispanica,9.0,7.0,38.5,2.7,8.5,1.37
Platanus x hispanica,6.0,2.0,3.1,1.8,1.1,0.18
Celtis australis,10.0,8.0,50.3,3.0,1.6,0.25
Platanus x hispanica,20.0,12.0,113.1,6.0,31.0,4.98
Carpinus betulus,7.0,4.0,12.6,2.1,2.7,0.44
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Tilia x europaea,4.0,2.5,4.9,1.2,2.3,0.37
Tilia x europaea,8.0,10.0,78.5,2.4,23.2,3.72
Celtis australis,14.0,4.5,15.9,4.2,1.8,0.29
Tilia cordata,4.0,3.0,7.1,1.2,1.4,0.23
Carpinus betulus,12.0,10.0,78.5,3.6,6.4,1.03
Aesculus hippocastanum,8.0,7.0,38.5,2.4,6.3,1.01
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Tilia cordata,6.0,6.0,28.3,1.8,4.4,0.71
Celtis australis,5.0,3.0,7.1,1.5,0.6,0.1
Tilia cordata,9.0,8.0,50.3,2.7,6.0,0.97
Aesculus hippocastanum,12.0,12.0,113.1,3.6,19.1,3.06
Aesculus hippocastanum,12.0,8.0,50.3,3.6,20.8,3.35
Carpinus betulus,4.0,2.0,3.1,1.2,3.2,0.52
Aesculus hippocastanum,11.0,12.0,113.1,3.3,16.8,2.7
Celtis australis,4.0,2.0,3.1,1.2,0.5,0.08
Tilia x europaea,8.0,6.0,28.3,2.4,9.1,1.46
Celtis australis,7.0,7.0,38.5,2.1,1.1,0.18
Tilia x europaea,3.0,2.0,3.1,0.9,4.6,0.73
Platanus x hispanica,7.0,3.0,7.1,2.1,1.7,0.28
Tilia x europaea,5.0,4.0,12.6,1.5,10.1,1.62
Platanus x hispanica,25.0,18.0,254.5,7.5,0.7,0.11
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Platanus x hispanica,8.0,8.0,50.3,2.4,3.5,0.56
Celtis australis,6.0,3.0,7.1,1.8,0.9,0.15
Celtis australis,12.0,10.0,78.5,3.6,1.5,0.24
Celtis australis,7.0,8.0,50.3,2.1,0.9,0.15
Celtis australis,5.0,6.0,28.3,1.5,1.3,0.21
Celtis australis,7.0,12.0,113.1,2.1,1.8,0.29
Tilia x europaea,7.0,6.0,28.3,2.1,8.6,1.38
Platanus x hispanica,8.0,7.0,38.5,2.4,3.5,0.56
Celtis australis,6.0,6.0,28.3,1.8,1.0,0.15
Carpinus betulus,8.0,5.0,19.6,2.4,4.8,0.77
Carpinus betulus,3.0,4.0,12.6,0.9,2.1,0.34
Carpinus betulus,7.0,6.0,28.3,2.1,3.7,0.59
Tilia cordata,7.0,4.0,12.6,2.1,2.1,0.34
Tilia cordata,7.0,6.0,28.3,2.1,2.6,0.42
Platanus x hispanica,22.0,18.0,254.5,6.6,0.7,0.11
Tilia x europaea,12.0,8.0,50.3,3.6,29.7,4.77
Celtis australis,5.0,4.0,12.6,1.5,1.0,0.16
Tilia x europaea,4.0,1.5,1.8,1.2,2.3,0.37
Carpinus betulus,5.0,3.0,7.1,1.5,3.7,0.59
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Celtis australis,6.0,6.0,28.3,1.8,1.0,0.16
Celtis australis,9.0,7.0,38.5,2.7,1.3,0.21
Tilia x europaea,5.0,2.5,4.9,1.5,2.3,0.37
Aesculus hippocastanum,12.0,10.0,78.5,3.6,27.2,4.37
Celtis australis,12.0,11.0,95.0,3.6,1.6,0.26
Celtis australis,5.0,4.0,12.6,1.5,1.0,0.16
Carpinus betulus,15.0,4.0,12.6,4.5,6.1,0.98
Celtis australis,5.0,3.0,7.1,1.5,0.8,0.12
Aesculus hippocastanum,9.0,6.0,28.3,2.7,7.9,1.27
Celtis australis,5.0,4.0,12.6,1.5,0.7,0.1
Celtis australis,6.0,3.0,7.1,1.8,0.7,0.11
Platanus x hispanica,24.0,14.0,153.9,7.2,36.5,5.86
Celtis australis,5.0,4.0,12.6,1.5,1.4,0.22
Carpinus betulus,6.0,4.0,12.6,1.8,5.3,0.85
Celtis australis,6.0,5.0,19.6,1.8,1.1,0.18
Celtis australis,8.0,3.0,7.1,2.4,1.2,0.19
Celtis australis,4.0,1.0,0.8,1.2,0.4,0.07
Tilia x europaea,12.0,8.0,50.3,3.6,29.7,4.77
Celtis australis,9.0,8.0,50.3,2.7,0.3,0.04
Celtis australis,14.0,4.5,15.9,4.2,1.8,0.29
Carpinus betulus,10.0,7.0,38.5,3.0,6.7,1.08
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.2,1.0
Tilia cordata,6.0,5.0,19.6,1.8,1.9,0.31
Tilia x europaea,8.6,5.6,24.3,2.6,11.5,1.85
Tilia cordata,5.0,6.0,28.3,1.5,3.0,0.48
Platanus x hispanica,20.0,12.0,113.1,6.0,31.0,4.98
Tilia x europaea,4.0,1.0,0.8,1.2,1.3,0.22
Carpinus betulus,12.0,7.0,38.5,3.6,6.7,1.08
Carpinus betulus,4.0,2.0,3.1,1.2,3.0,0.48
Celtis australis,8.0,6.0,28.3,2.4,1.2,0.19
Aesculus hippocastanum,12.0,10.0,78.5,3.6,13.6,2.18
Carpinus betulus,9.0,6.0,28.3,2.7,5.3,0.85
Aesculus hippocastanum,22.0,20.0,314.2,6.6,25.5,4.1
Carpinus betulus,4.0,1.5,1.8,1.2,1.9,0.3
Tilia x europaea,12.0,8.0,50.3,3.6,29.7,4.77
Carpinus betulus,9.0,7.0,38.5,2.7,2.3,0.37
Platanus x hispanica,26.0,22.0,380.1,7.8,8.1,1.31
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Aesculus hippocastanum,7.0,6.0,28.3,2.1,10.2,1.64
Carpinus betulus,6.0,5.0,19.6,1.8,3.5,0.56
Carpinus betulus,4.5,2.5,4.9,1.3,1.7,0.27
Celtis australis,6.0,5.0,19.6,1.8,1.2,0.2
Celtis australis,7.0,6.0,28.3,2.1,1.0,0.15
Tilia x europaea,6.0,4.0,12.6,1.8,7.2,1.15
Carpinus betulus,8.0,10.0,78.5,2.4,3.9,0.63
Celtis australis,5.0,4.0,12.6,1.5,0.9,0.15
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Celtis australis,9.0,7.0,38.5,2.7,1.1,0.18
Celtis australis,4.5,4.0,12.6,1.3,0.9,0.15
Celtis australis,6.0,4.0,12.6,1.8,1.0,0.16
Celtis australis,14.0,12.0,113.1,4.2,1.9,0.3
Celtis australis,5.0,4.0,12.6,1.5,0.8,0.12
Celtis australis,8.0,5.0,19.6,2.4,1.5,0.24
Celtis australis,9.0,7.0,38.5,2.7,1.6,0.25
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Carpinus betulus,6.0,4.0,12.6,1.8,5.3,0.85
Celtis australis,13.0,17.0,227.0,3.9,2.2,0.35
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Celtis australis,4.5,5.0,19.6,1.3,1.0,0.15
Tilia cordata,4.0,1.5,1.8,1.2,0.8,0.13
Tilia cordata,19.0,6.0,28.3,5.7,12.5,2.0
Platanus x hispanica,5.0,2.5,4.9,1.5,0.8,0.12
Celtis australis,14.0,12.0,113.1,4.2,2.1,0.33
Celtis australis,10.0,7.0,38.5,3.0,1.8,0.28
Carpinus betulus,6.0,3.0,7.1,1.8,1.7,0.27
Tilia x europaea,5.0,3.0,7.1,1.5,4.6,0.73
Platanus x hispanica,5.0,3.0,7.1,1.5,2.2,0.35
Carpinus betulus,8.0,7.0,38.5,2.4,3.9,0.63
Platanus x hispanica,25.0,20.0,314.2,7.5,8.1,1.31
Celtis australis,9.0,12.0,113.1,2.7,1.2,0.19
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Celtis australis,9.0,7.0,38.5,2.7,1.3,0.21
Tilia x europaea,5.0,2.5,4.9,1.5,2.3,0.37
Celtis australis,6.0,6.0,28.3,1.8,1.0,0.15
Carpinus betulus,3.0,1.5,1.8,0.9,1.7,0.27
Carpinus betulus,6.0,3.0,7.1,1.8,1.7,0.27
Carpinus betulus,6.0,7.0,38.5,1.8,3.9,0.63
Tilia cordata,5.0,5.0,19.6,1.5,2.1,0.34
Celtis australis,5.0,4.0,12.6,1.5,0.8,0.13
Carpinus betulus,6.0,4.0,12.6,1.8,5.3,0.85
Celtis australis,8.0,6.0,28.3,2.4,1.2,0.19
Tilia cordata,7.0,6.0,28.3,2.1,3.2,0.52
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4,0.23
Tilia x europaea,12.0,6.0,28.3,3.6,7.6,1.23
Aesculus hippocastanum,8.5,7.0,38.5,2.6,11.4,1.83
Platanus x hispanica,30.0,23.0,415.5,9.0,8.1,1.31
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Celtis australis,9.0,3.0,7.1,2.7,0.8,0.13
Tilia x europaea,5.0,2.5,4.9,1.5,2.3,0.37
Tilia x europaea,10.0,7.0,38.5,3.0,6.7,1.08
Aesculus hippocastanum,5.5,5.0,19.6,1.7,1.9,0.3
Carpinus betulus,18.0,4.0,12.6,5.4,5.3,0.85
Tilia x europaea,12.0,8.0,50.3,3.6,29.7,4.77
Celtis australis,8.0,8.0,50.3,2.4,1.6,0.26
Tilia x europaea,4.0,1.5,1.8,1.2,2.6,0.43
Aesculus hippocastanum,18.0,12.0,113.1,5.4,10.1,1.62
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4,1.51
Aesculus hippocastanum,13.0,8.0,50.3,3.9,12.1,1.94
Celtis australis,6.0,9.0,63.6,1.8,1.8,0.28
Celtis australis,5.0,4.0,12.6,1.5,0.8,0.13
Platanus x hispanica,8.0,8.0,50.3,2.4,3.5,0.56
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Celtis australis,7.0,6.0,28.3,2.1,0.9,0.15
Tilia x europaea,5.0,4.0,12.6,1.5,9.1,1.46
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Platanus x hispanica,24.0,16.0,201.1,7.2,31.0,4.98
Carpinus betulus,15.0,4.0,12.6,4.5,5.3,0.85
Aesculus hippocastanum,12.0,8.0,50.3,3.6,13.6,2.18
Platanus x hispanica,20.0,12.0,113.1,6.0,31.0,4.98
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6,0.26
Carpinus betulus,3.0,1.0,0.8,0.9,1.7,0.27
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Aesculus hippocastanum,11.0,13.0,132.7,3.3,27.1,4.35
Platanus x hispanica,6.0,3.0,7.1,1.8,1.7,0.28
Celtis australis,8.0,11.0,95.0,2.4,1.8,0.3
Tilia x europaea,12.0,7.0,38.5,3.6,6.7,1.08
Tilia cordata,8.0,8.0,50.3,2.4,3.8,0.61
Carpinus betulus,7.0,4.5,15.9,2.1,3.5,0.56
Carpinus betulus,7.0,6.0,28.3,2.1,5.6,0.89
Aesculus hippocastanum,8.0,7.0,38.5,2.4,13.3,2.14
Celtis australis,13.0,10.0,78.5,3.9,2.1,0.33
Celtis australis,3.0,6.0,28.3,0.9,0.9,0.15
Tilia x europaea,10.0,8.0,50.3,3.0,11.6,1.87
Tilia x europaea,10.0,12.0,113.1,3.0,23.2,3.72
Celtis australis,6.0,9.0,63.6,1.8,1.3,0.2
Celtis australis,12.0,10.0,78.5,3.6,1.7,0.28
Tilia x europaea,15.0,9.0,63.6,4.5,43.8,7.04
Aesculus hippocastanum,12.0,8.0,50.3,3.6,9.8,1.57
Carpinus betulus,9.0,5.0,19.6,2.7,3.9,0.63
Platanus x hispanica,19.0,14.0,153.9,5.7,33.7,5.42
Platanus x hispanica,22.0,12.0,113.1,6.6,20.5,3.3
Celtis australis,13.0,10.0,78.5,3.9,1.8,0.29
Tilia cordata,7.0,6.0,28.3,2.1,1.6,0.25
Carpinus betulus,4.0,2.0,3.1,1.2,3.2,0.52
Platanus x hispanica,17.0,12.0,113.1,5.1,27.8,4.46
Platanus x hispanica,24.0,25.0,490.9,7.2,0.3,0.04
Celtis australis,9.0,7.0,38.5,2.7,1.3,0.21
Celtis australis,13.0,11.5,103.9,3.9,2.0,0.33
Carpinus betulus,5.0,8.0,50.3,1.5,5.3,0.85
Celtis australis,13.0,12.0,113.1,3.9,2.0,0.32
Carpinus betulus,5.0,4.0,12.6,1.5,1.9,0.3
Celtis australis,8.0,8.0,50.3,2.4,1.3,0.2
Tilia cordata,7.0,11.0,95.0,2.1,4.9,0.78
Celtis australis,6.0,6.0,28.3,1.8,1.0,0.16
Tilia x europaea,13.0,8.0,50.3,3.9,24.4,3.93
Aesculus hippocastanum,3.5,2.5,4.9,1.0,2.0,0.32
Celtis australis,8.0,8.0,50.3,2.4,1.3,0.21
Tilia cordata,6.0,4.5,15.9,1.8,2.1,0.34
Platanus x hispanica,3.0,2.0,3.1,0.9,2.4,0.39
Celtis australis,10.0,9.0,63.6,3.0,1.3,0.21
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Celtis australis,11.0,7.0,38.5,3.3,0.9,0.15
Celtis australis,13.0,13.0,132.7,3.9,2.0,0.31
Aesculus hippocastanum,7.0,6.0,28.3,2.1,3.5,0.56
Celtis australis,2.0,1.0,0.8,0.6,0.4,0.07
Carpinus betulus,10.0,6.0,28.3,3.0,3.5,0.55
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Aesculus hippocastanum,13.0,8.0,50.3,3.9,17.6,2.83
Carpinus betulus,10.0,7.0,38.5,3.0,6.7,1.08
Celtis australis,8.0,3.0,7.1,2.4,1.2,0.2
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Tilia cordata,4.5,4.0,12.6,1.3,1.6,0.25
Celtis australis,5.0,4.0,12.6,1.5,0.8,0.12
Platanus x hispanica,16.0,16.0,201.1,4.8,20.5,3.3
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9,0.15
Tilia x europaea,4.0,2.5,4.9,1.2,2.3,0.37
Celtis australis,9.0,7.0,38.5,2.7,1.4,0.23
Tilia x europaea,8.0,6.0,28.3,2.4,5.8,0.94
Platanus x hispanica,23.0,13.0,132.7,6.9,32.8,5.27
Tilia cordata,4.0,1.0,0.8,1.2,0.6,0.09
Aesculus hippocastanum,8.0,6.0,28.3,2.4,7.9,1.26
Tilia cordata,8.0,6.0,28.3,2.4,2.3,0.36
Carpinus betulus,6.0,4.0,12.6,1.8,3.9,0.63
Tilia cordata,10.0,8.0,50.3,3.0,3.6,0.58
Platanus x hispanica,4.5,2.0,3.1,1.3,2.0,0.32
Tilia cordata,5.0,4.0,12.6,1.5,1.6,0.25
Aesculus hippocastanum,9.0,9.0,63.6,2.7,7.9,1.27
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7,2.85
Celtis australis,8.5,6.0,28.3,2.6,1.1,0.17
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Carpinus betulus,10.0,6.0,28.3,3.0,4.8,0.77
Platanus x hispanica,6.0,5.0,19.6,1.8,3.0,0.48
Aesculus hippocastanum,6.0,6.0,28.3,1.8,8.1,1.3
Aesculus hippocastanum,10.0,10.0,78.5,3.0,19.8,3.19
Carpinus betulus,4.0,1.5,1.8,1.2,1.1,0.18
Celtis australis,20.0,12.0,113.1,6.0,2.0,0.32
Platanus x hispanica,8.0,7.5,44.2,2.4,4.7,0.76
Celtis australis,10.0,6.0,28.3,3.0,1.8,0.29
Aesculus hippocastanum,8.0,6.0,28.3,2.4,12.5,2.01
Celtis australis,7.0,7.0,38.5,2.1,1.1,0.17
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Celtis australis,12.0,10.0,78.5,3.6,1.6,0.26
Celtis australis,5.0,4.0,12.6,1.5,1.0,0.16
Tilia x europaea,10.0,5.0,19.6,3.0,8.6,1.38
Carpinus betulus,9.0,7.0,38.5,2.7,3.9,0.63
Aesculus hippocastanum,10.0,6.0,28.3,3.0,9.0,1.44
Platanus x hispanica,6.0,2.5,4.9,1.8,1.5,0.24
Celtis australis,5.0,5.0,19.6,1.5,0.8,0.14
Tilia x europaea,4.0,2.5,4.9,1.2,2.3,0.37
Celtis australis,11.0,10.0,78.5,3.3,1.6,0.26
Tilia cordata,6.4,4.4,14.9,1.9,2.6,0.41
Platanus x hispanica,18.0,9.0,63.6,5.4,21.5,3.46
Celtis australis,5.0,3.0,7.1,1.5,0.8,0.12
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8,1.57
Tilia x europaea,3.0,1.5,1.8,0.9,2.3,0.37
