Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
3.5,1.0,1.5,1.8
5.0,1.5,1.5,1.8
4.5,1.3,1.5,1.8
5.0,1.5,2.5,4.9
8.0,2.4,1.5,1.8
4.5,1.3,1.5,1.8
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
3.5,1.0,1.5,1.8
5.0,1.5,2.0,3.1
5.0,1.5,2.5,4.9
4.0,1.2,2.0,3.1
5.0,1.5,2.0,3.1
3.0,0.9,1.5,1.8
4.0,1.2,2.0,3.1
4.5,1.3,1.5,1.8
5.0,1.5,2.0,3.1
4.5,1.3,3.0,7.1
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
4.0,1.2,2.0,3.1
6.0,1.8,6.0,28.3
7.0,2.1,6.0,28.3
7.0,2.1,6.0,28.3
7.0,2.1,5.0,19.6
4.0,1.2,3.0,7.1
6.0,1.8,3.0,7.1
6.0,1.8,3.5,9.6
5.0,1.5,2.5,4.9
5.0,1.5,2.5,4.9
5.0,1.5,2.5,4.9
5.0,1.5,2.0,3.1
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
5.0,1.5,1.0,0.8
5.0,1.5,2.0,3.1
6.0,1.8,2.0,3.1
8.0,2.4,2.0,3.1
4.0,1.2,3.0,7.1
4.0,1.2,2.0,3.1
4.0,1.2,2.0,3.1
4.5,1.3,1.5,1.8
4.5,1.3,1.5,1.8
4.5,1.3,1.5,1.8
4.5,1.3,1.5,1.8
4.5,1.3,1.5,1.8
4.5,1.3,1.5,1.8
3.5,1.0,2.0,3.1
4.5,1.3,1.5,1.8
5.0,1.5,2.0,3.1
5.0,1.5,2.0,3.1
4.5,1.3,3.0,7.1
4.5,1.3,2.5,4.9
4.5,1.3,1.0,0.8
4.5,1.3,2.0,3.1
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
4.5,1.3,3.0,7.1
2.0,0.6,1.0,0.8
5.0,1.5,2.0,3.1
5.0,1.5,2.0,3.1
4.5,1.3,2.0,3.1
4.5,1.3,2.0,3.1
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
4.5,1.3,2.5,4.9
4.5,1.3,2.5,4.9
4.5,1.3,2.5,4.9
5.0,1.5,2.5,4.9
4.5,1.3,2.5,4.9
5.0,1.5,2.5,4.9
5.0,1.5,2.5,4.9
5.0,1.5,2.5,4.9
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
5.0,1.5,3.0,7.1
5.0,1.5,2.5,4.9
5.0,1.5,2.5,4.9
5.0,1.5,4.0,12.6
5.0,1.5,3.0,7.1
5.0,1.5,4.0,12.6
5.0,1.5,4.0,12.6
4.0,1.2,3.0,7.1
6.0,1.8,4.0,12.6
6.0,1.8,4.0,12.6
6.0,1.8,5.0,19.6
10.0,3.0,1.0,0.8
10.0,3.0,1.0,0.8
10.0,3.0,1.0,0.8
4.5,1.3,2.0,3.1
4.0,1.2,1.5,1.8
