index,Neighborhood,Area,Canopy Cover (m2),Density
3,ARGENTARIO,13199398,1349.4,0.00010223193512310183
1,BONDONE,36949609,370.2,1.001905053988528e-05
11,CENTRO STORICO PIEDICASTELLO,8599464,20767.9,0.0024150226107115514
10,GARDOLO,8817959,3293.3,0.0003734764473275505
7,MATTARELLO,16409555,296.1,1.804436500563239e-05
0,MEANO,15712181,293.3,1.8667045650759753e-05
9,OLTREFERSINA,6962104,11188.5,0.001607057291876134
5,POVO,15433274,234.89999999999998,1.522036089037232e-05
6,RAVINA-ROMAGNANO,16687779,797.4,4.778347076624157e-05
4,S.GIUSEPPE-S.CHIARA,3073349,15770.0,0.005131210285587481
2,SARDAGNA,8663138,45.6,5.263681589742655e-06
8,VILLAZZANO,7342864,1150.5,0.00015668273305892633
